Nom;Fréquence %;Sprite ID;;;;;;;;;;;;;;;;
Ferme;4,69;1;;;;;;;;;;;;;;;;
Narrator : La plage directement sur une terre verte et humide. Derrière des champs de tournesols se tient une petite ferme.;;;;;;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;
Choice : Lever l'ancre;Choice : Vers la ferme;;;;;;;;;;;;;;;;;
PlayerSpeak : On s'en va !;Fade;;;;;;;;;;;;;;;;;
Leave;[choix ferme];;;;;;;;;;;;;;;;;
;RandomRange2;;;;;;;;;;;;;;;;;
;Node=>ferme détruite;Node=>ferme normale;;;;;;;;;;;;;;;;
;;;;;;;[ferme normale];;;;;;;;;;;
[ferme détruite];;;;;;;NewCrew1/F;;;;;;;;;;;
Narrator : La ferme n'est plus qu'un amât de poutre carbonisée et de cendre. L'air sent encore la fumée. Au seuil de la porte, un tas de papier brûlé. Un petit chemin parsemé de traces de pas mène sur une autre plage.;;;;;;;Narrator : C'est une petite ferme, entourée de champs. Une jeune fille ramasse des graines de tournesol près de la porte. Un chemin mène vers la plage, un autre vers derrière la maison.;Node=>fermière morte;Node=>combat fermière;;;;;;;;;
[choix];;;;;;;[switch quete];;;;;;;;;;;
SetChoices4;;;;;;;[choix ferme normale];Node=>la quete;;;;;;;;;;
Choice : (fouiller les restes);;Choice : (regarder les papiers);;Choice : (retourner au bateau);Choice : (suivre traces de pas);;SetChoices3;;;;;;;;;;;
RandomPercent50;;RandomRange2;;Fade;Fade;;Choice : (aller voir jeune fille);Choice : (retourner sur la plage);Choice : (suivre chemin);;;;;;;;;
PlayerSpeak : Des babioles…;PlayerSpeak : Rien à sauver.;PlayerSpeak : Tiens tiens ! ça parle de Bobby…;PlayerSpeak : Le peu lisible n'est que factures et recettes de cuisines.;Node=>debut;Node=>plage2;;Fade;Fade;Fade;;;;;;;;;
LootMisc;Node=>ferme détruite;PlayerSpeak : Quelqu'un sait quelques chose DIRECTIONTOFORMULA;Node=>ferme détruite;;;;HideOther;HideOther;HideOther;;;;;;;;;
Node=>ferme détruite;;Node=>ferme détruite;;;;;Node=>rencontre fermière;Node=>debut;Node=>plage2;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[plage2];;;;;;;;;;;;;;;;;;
CheckQuest[plage2];;;;;;;;;;;;;;;;;;
RandomPercent50;;;;;;;;;;;;;;;;;;
Node=>plage vide;Node=>plage pirates;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[plage vide];;;;;;;;;;;;;;;;;;
Narrator : La plage est vide. Seule la voile d'un bateau, pirate il semble, se déssine à l'horizon.;;;;;;;;;;;;;;;;;;
Narrator : Ils partent DIRECTIONTOFORMULA;;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;
Choice : Revenir à la ferme.;Choice : Fouiller la plage.;;;;;;;;;;;;;;;;;
Fade;RandomPercent25;;;;;;;;;;;;;;;;;
Node=>ferme détruite;PlayerSpeak : Oh !;PlayerSpeak : La plage est toute vide !;;;;;;;;;;;;;;;;
;PlayerSpeak : Un petit crabe..;Node=>plage vide;;;;;;;;;;;;;;;;
;AddToInventory<Crabe>/Food;;;;;;;;;;;;;;;;;
;Node=>plage vide;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[plage pirates];;;;;;;;;;;;;;;;;;
NewCrew;;;;;;;;;;;;;;;;;;
Narrator : Un groupe de pirates ! Ils s'appretent à monter dans leur petit bateau.;Node=>pirates morts;Node=>combat pirates;;;;;;;;;;;;;;;;
OtherSpeak : Vous n'aurez jamais le trésor avant nous !;;;;;;;;;;;;;;;;;;
[discussion pirates];;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;
Choice : Je ne cherche pas d'ennuis !;;Choice : Je vais t'encrouter !;Choice : Où est le trésor !?;;;;;;;;;;;;;;;
RandomPercent40;;Node=>combat pirates;RandomRange2;;;;;;;;;;;;;;;
OtherSpeak : Alors tournez les talonts !;OtherSpeak : Vous venez d'en trouver !;;OtherSpeak : Il n'est sûrement pas DIRECTIONTOFORMULA;OtherSpeak : Si vous croyez qu'on va vous dire !!;;;;;;;;;;;;;;
Fade;Node=>combat pirates;;Node=>discussion pirates;Node=>discussion pirates;;;;;;;;;;;;;;
Node=>choix ferme;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[combat pirates];;;;;;;;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;;;;;;
Node=>pirates morts;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[pirates morts];;;;;;;;;;;;;;;;;;
Narrator : Les cadavres des pirates sont étalés sur la plage. Leur bateau est toujours accosté.;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;
Choice : Retourner à la ferme;Choice : Fouiller le bateau.;;;Choice : Prendre leur bateau.;;;;;;;;;;;;;;
Fade;RandomPercent50;;;PlayerSpeak : il est minuscule et inutilisable !;;;;;;;;;;;;;;
Node=>choix ferme;RandomPercent40;;PlayerSpeak : Il est totalement vide;Node=>pirates morts;;;;;;;;;;;;;;
;PlayerSpeak : Leur garde manger est bien fourni;PlayerSpeak : Des armes et des babioles.;Node=>pirates morts;;;;;;;;;;;;;;;
;LootFood;LootWeapons/Misc;;;;;;;;;;;;;;;;
;Node=>pirates morts;Node=>pirates morts;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[rencontre fermière];;;;;;;;;;;;;;;;;;
OtherSpeak : Bonjour !;;;;;;;;;;;;;;;;;;
Node=>discussion fermière;;;;;;;;;;;;;;;;;;
[discussion fermière];;;;;;;;;;;;;;;;;;
SetChoices4;;;;;;;;;;;[autre];;;;;;;
Choice : Quelque chose à vendre ?;;;Choice : (retourner devant ferme);Choice : (autre);Choice : Vous vous sentez pas seule par ici ?;;;;;;SetChoices4;;;;;;;
RandomRange2;;;HideOther;Node=>autre;RandomRange3;;;;;;Choice : Bobby dick ?;;Choice : (attaquer);Choice : (autre);Choice : Elle est jolie votre ferme !;;;[la quete]
OtherSpeak : Je n'en ai que assez pour ma famille ! Désolé.;;OtherSpeak : Laissez moi regarder dans mes reserves…;Fade;;OtherSpeak : Non.;OtherSpeak : Si et heureusement !;;OtherSpeak : Si un peu;;;RandomRange2;;Node=>combat fermière;Node=>discussion fermière;RandomRange2;;;NewQuest[discussion fermière]
