Nom;Fréquence %;Sprite ID;;;;;;
Grotte;3,13;0;;;;;;
Narrator : L'île n'a aucune plage. La côte mène directement à un petit bois.;;;;;;;;
[debut];;;;;;;;
SetChoices3;;;;;;;;
Choice : (faire un campement);;Choice : (partir);Choice : (entrer dans bois);;;;;
SetChoices2;;PlayerSpeak : Tayo !;Fade;;;;;
Choice : (jusqu'à la nuit);Choice : (jusqu'au jour);Leave;Node=>bois;;;;;PlayerSpeak : caca bug
SetWeatherNight;ChangeTimeOfDay;;;;;;;
Node=>debut;Node=>debut;;;;;;;
;;;;;;;;
[bois];;;;;;;;
CheckDay;;;;;;;;
Node=>bois jour;Node=>bois nuit;;;;;;;
;;;;;;;;
[bois jour];;;[bois nuit];;;;;
Narrator : Les oiseaux chantent, les branches dansent paisiblement et l'atmosphère est calme. Une petite porte apparaît derrière les fougères.;;;Narrator : Dans le bois résonne un silence de mort. Seul les branches se froissent de temps à autres, et quelques hullulements.;;;;;
SetChoices3;;;SetChoices3;;;;;
Choice : (aller vers la porte);Choice : (s'aventurer dans la forêt);Choice : (revenir sur la plage);Choice : (aller vers la porte);Choice : (s'aventurer dans la forêt);Choice : (revenir sur la plage);;;
Fade;Fade;Fade;Fade;Fade;Fade;;;
Node=>porte jour;Node=>forêt;Node=>debut;Node=>porte nuit;Node=>forêt;Node=>debut;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[porte jour];;;[porte nuit];;;;;
Narrator : La porte est solidement enfoncée dans un énorme rocher. Elle est entourée de symboles et de dessins.;;;Narrator : La porte est solidement enfoncée dans un énorme rocher. Un ronronnement discret émane de derrière.;;;;;
[devant porte jour];;;[devant porte nuit];;;;;
SetChoices3;;;SetChoices3;;;;;
Choice : (ouvrir la porte);Choice :  (revenir dans le bois);Choice : (observer les dessins);Choice : (ouvrir la porte);;Choice : (revenir dans le bois);Choice : (observer autour de la porte);;
PlayerSpeak : YAH ! ça ne s'ouvre pas.;Node=>bois jour;PlayerSpeak : Hmmmm;Narrator : A peine le capitaine touche la porte, qu'elle s'ouvre grandement, et calmement. Elle donne sur un escalier descendant. On n'en voit pas le fond.;;Node=>bois nuit;PlayerSpeak : Hmmmm;;
Node=>devant porte jour;;PlayerSpeak : On dirait des étoiles… Et la lune…;SetChoices2;;;PlayerSpeak : Rien de spécial.;;
;;Node=>devant porte jour;Choice : (revenir dans le bois);Choice : (entrer);;Node=>devant porte nuit;;
;;;Fade;Fade;;;;
;;;Node=>bois nuit;Node=>grotte;;;;
;;;;;;;;
;;;;;;;;
[grotte];;;;;;;;
Narrator : Tout est sombre. Mais, au fond, un coffre apparaît, dans toute sa brillance.;;;;;;;;
SetChoices2;;;;;;;;
Choice : (ouvrir);;;Choice : (partir);;;;;
RandomRange3;;;Fade;;;;;
PlayerSpeak : Wow !;PlayerSpeak : Wew !;PlayerSpeak : Waw !;Node=>porte nuit;;;;;
AddGold700;LootClothes;LootWeapons;;;;;;
PlayerSpeak : ça fait beaucoup d'argent.;Node=>grotte;PlayerSpeak : Armés jusqu'aux dents on est !;;;;;;
Node=>grotte;;Node=>grotte;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[forêt];;;;;;;;
RandomPercent40;;;;;;;;
PlayerSpeak : Une caisse de nourriture !;PlayerSpeak : Rien.;;;;;;;
LootFood;Node=>end foret;;;;;;;
Node=>end foret;;;;;;;;
;;;;;;;;
;;;;;;;;
[end foret];;;;;;;;
SetChoices1;;;;;;;;
Choice : (revenir en arrière);;;;;;;;
Fade;;;;;;;;
CheckDay;;;;;;;;
Node=>bois jour;Node=>bois nuit;;;;;;;
