Nom;Fréquence %;Sprite ID;;;
Marchand de vetements;0;1;;;
Narrator : L'île est petite, plate et verte. ;;;;;
[debut];;;;;
Narrator : Sur la plage un panneau indique une direction : « Marchand d'étoffe et de cuir »;;;;;
SetChoices2;;;;;
Choice : (suivre panneau);Choice : (repartir);;;;
Fade;Leave;;;;
Node=>marchand;;;;;
;;;;;
;;;;;
[marchand];;;;;
NewCrew1;;;;;
OtherSpeak : Salut voyageur !;;;;;
[choix];;;;;
SetChoices4;;;;;
Choice : Qu'est-ce que vous vendez ?;Choice : Montrez moi votre marchandise;Choice : Le trésor de Bobby Dick ?;;Choice : (partir);
OtherSpeak : Comme le panneau l'indique.;TradeClothes;RandomPercent20;;OtherSpeak : Au revoir !;
OtherSpeak : Des vêtements, protections en tout genre.;Node=>choix;OtherSpeak : Ça n'intéresse que les pirates DIRECTIONTOFORMULA;OtherSpeak : Ça ne me dit rien.;Leave;
Node=>choix;;Node=>choix;Node=>choix;;caca
