Nom;Fréquence %;Sprite ID;;;;;
Cargaison;76,92;0;;;;;
[debut];;;;;;;
OtherSpeak : Des bandits !;;;;;;;
OtherSpeak : Ils m’ont pris tout ce que j’avais !;;;;;;;
OtherSpeak : Ils sont partis par là;;;;;;;
ShowQuestOnMap;;;;;;;
Leave;;;;;;;
;;;;;;;
;;;;;;;
[suite];;;;;;;
RandomRange2;;;;;;;
Node=>bandits voient pas;Node=>bandits voient;;;;;;
;;;;;;;
[bandits voient pas];;;[bandits voient];;;;
Narrator : CAPITAINE aperçoit un groupe de malfrats. Ils ne l’ont pas vu.;;;Narrator : CAPITAINE aperçoit un groupe de malfrats. Ils s’approchent.;;;;
NewCrew;;;NewCrew;;;;
SetChoices2;;;SetChoices3;;;;
Choice : (continuer son chemin)(partir);Choice : Hey ! Rendez tout ce que vous avez volé ! (attaquer);;OtherSpeak : Huzzah !;Choice : (courir)(dex);;Choice : (charmer)(dex);
Leave;OtherSpeak : Amusant !;;Node=>combat bandits;CheckStatDEX;;CheckStatCHA;
;Node=>combat bandits;;;PlayerSpeak : Tayoh !;OtherSpeak : Vous allez où comme ça ?;PlayerSpeak : Je suis PLUS bon que vous :;OtherSpeak : Vous allez où comme ça ?
;;;;Leave;Node=>combat bandits;OtherSpeak : On s’arrache les gars;Node=>combat bandits
;;;;;;Leave;
[combat bandits];;;;;;;
LaunchCombat;;;;;;;
RandomRange4;;;;;;;
PlayerSpeak : Bingo ! La cargaison d’armes !;;PlayerSpeak : Bingo ! La cargaison d’armures !;;PlayerSpeak : Bingo ! La cargaison de nourriture !;;PlayerSpeak : Bingo ! La cargaison de trucs !;
SetChoices2;;SetChoices2;;SetChoices2;;SetChoices2;
Choice : (prendre la cargaison pour soi)(loot);Choice : (prendre pour la quête)(quete);Choice : (prendre la cargaison pour soi)(loot);Choice : (prendre pour la quête)(quete);Choice : (prendre la cargaison pour soi)(loot);Choice : (prendre pour la quête)(quete);Choice : (prendre la cargaison pour soi)(loot);Choice : (prendre pour la quête)(quete)
PlayerSpeak : Tant pis pour la paie, on prends la cargaison;PlayerSpeak : On repart !;PlayerSpeak : Tant pis pour la paie, on prends la cargaison;PlayerSpeak : On repart !;PlayerSpeak : Tant pis pour la paie, on prends la cargaison;PlayerSpeak : On repart !;PlayerSpeak : Tant pis pour la paie, on prends la cargaison;PlayerSpeak : On repart !
RemoveKarma;AccomplishQuest;RemoveKarma;AccomplishQuest;RemoveKarma;AccomplishQuest;RemoveKarma;AccomplishQuest
LootWeapons;Leave;LootClothes;Leave;LootFood;Leave;LootMisc;Leave
GiveUpQuest;;GiveUpQuest;;GiveUpQuest;;GiveUpQuest;
Leave;;Leave;;Leave;;Leave;
;;;;;;;
[fin];;;;;;;
OtherSpeak : Oh ! C’est vous !;;;;;;;
OtherSpeak : Vous avez ma cargaison ?!;;;;;;;
SetChoices2;;;;;;;
Choice : Non…(partir);Choice : La voilà !;;;;;;
OtherSpeak : Vous revenez bredouille ?;IsQuestAccomplished;;;;;;
Leave;OtherSpeak : Génial !;OtherSpeak : Ça vous amuse ? Vous n’avez rien !;;;;;
;FinishQuest;Leave;;;;;
;Leave;;;;;;
