Nom;Fréquence %;Sprite ID;;;;;
Kidnap;23,08;0;;;;;
[debut];;;;;;;
OtherSpeak : Mon enfant !;;;;;;;
OtherSpeak : Des bandits ont pris mon enfant !;;;;;;;
OtherSpeak : Ils sont partis par là !;;;;;;;
ShowQuestOnMap;;;;;;;
Leave;;;;;;;
;;;;;;;
;;;;;;;
[suite];;;;;;;
RandomRange2;;;;;;;
Node=>bandits voient pas;Node=>bandits voient;;;;;;
;;;;;;;
[bandits voient pas];;;[bandits voient];;;;
Narrator : Un groupe de malfrat est adossé à un gros rocher. Ils ont à côté d’eux un prisonnier, et n’ont pas encore vu CAPITAINE.;;;Narrator : Un groupe de malfrat est adossé à un gros rocher. Ils ont à côté d’eux un prisonnier, et s’approche dangereusement de CAPITAINE;;;;
NewCrew;;;NewCrew;;;;
SetChoices2;;;SetChoices3;;;;
Choice : (continuer son chemin)(partir);Choice : Hey ! Libérez le gamin !? (attaquer);;OtherSpeak : Huzzah !;Choice : (courir)(dex);;Choice : (charmer)(dex);
Leave;OtherSpeak : Et alors ?;;Node=>combat bandits;CheckStatDEX;;CheckStatCHA;
;Node=>combat bandits;;;PlayerSpeak : Tayoh !;OtherSpeak : Vous allez où comme ça ?;PlayerSpeak : Je suis PLUS bon que vous :;OtherSpeak : Vous allez où comme ça ?
;;;;Leave;Node=>combat bandits;OtherSpeak : On s’arrache les gars;Node=>combat bandits
;;;;;;Leave;
[combat bandits];;;;;;;
LaunchCombat;;;;;;;
PlayerSpeak : Morts !;;;;;;;
NewCrew1;;;;;;;
OtherSpeak : Enfin ! Je vais rentrer à la maison !;;;;;;;
[choix kidnap];;;;;;;
SetChoices3;;;;;;;
Choice : Oublie tes parents ! Rejoins l’équipe (nouveau membre);Choice : On te ramène chez tes parents !(quete);;;;;;
RandomRange2;OtherSpeak : Merci !;;;;;;
OtherSpeak : Alors là oui !;AccomplishQuest;;;;;;
OtherSpeak : Tout sauf la raclée que je vais recevoir.;Leave;;;;;;
OtherSpeak : Pour avoir fugué !;;;;;;;
AddMember;;;;;;;
GiveUpQuest;;;;;;;
RemoveKarma;;;;;;;
Leave;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
[fin];;;;;;;
IsQuestAccomplished;;;;;;;
OtherSpeak : Mon enfant !;OtherSpeak : Où est mon enfant ! Il va bien ?;;;;;;
OtherSpeak : Merci de tout coeur !;Leave;;;;;;
FinishQuest;;;;;;;
Leave;;;;;;;
