Nom;Fréquence / 5;Sprite ID;;;;;;
Trésor;100;0;;;;;;
[debut];;;;;;;;
Narrator : L'île est déserte et gigantesque. Loin, au centre de l'île se tient une immense montagne, bordée d'une dense forêt.;;;;;;;;
SetChoices3;;;;;;;;
Choice : (reprendre le large);Choice : (faire un campement);Choice : (vers la forêt);;;;;;
PlayerSpeak : Hop !;ChangeTimeOfDay;Node=>vers la foret;;;;;;
Leave;Node=>debut;;;;;;;
;;;;;;;;
[vers la foret];;;;;;;;
ChangeTimeOfDay;;;;;;;;
Narrator : Après quelques heures de marche, NOMBATEAU n'est plus qu'un point dans l'horizon. La foret est aux pieds de CAPITAINE.;;;;;;;;
PlayerSpeak : Nous y voilà;;;;;;;;
[entree foret];;;;;;;;
SetChoices2;;;;;;;;
Choice : (retourner à plage);Choice : (entrer dans la forêt);;;;;;;
ChangeTimeOfDay;Fade;;;;;;;
PlayerSpeak : Deux jours de marche pour rien…;Node=>porte de la foret;;;;;;;
Node=>debut;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[porte de la foret];;;;;;;;
Narrator : CAPITAINE s'enfonce dans la forêt, qui devient plus dense, mais une muraille aussi grosse que NOMBATEAU bloque le chemin. Un portail bloque le chemin.;;;;;;;;
[choix porte];;;;;;;;
SetChoices2;;;;;;;;
Choice : (faire demi tour);Choice : (ouvrir le portail);;;;;;;
Fade;[porte ouverte ?];;;;;;;
Node=>entree foret;Node=>devant les indices;Fade;;;;;;
;;Node=>devant pierre magique;;;;;;
;;;;;;;;
[devant les indices];;;;;;;;
Narrator : Une voix d'outre tombe s'élève de derrière les arbres.;;;;;;;;
Narrator : « Récitez les formules »;;;;;;;;
[indices];;;;;;;;
CheckClues;;;;;;;;
Fade;;Fade;Fade;;;;;
PlayerSpeak : Il ne s'est rien passé !;;Narrator : Un grondement immense résonne dans la forêt.;Narrator : Gagné !;;;;;
[next];;PlayerSpeak : Je crois qu'on est sur la bonne piste !;Narrator : Le portail s'ouvre…;;;;;
SetChoices2;;Node=>next;Switch=>porte ouverte ?;;;;;
Choice : (sortir de la forêt);Choice : (réessayer);;Fade;;;;;
Narrator : Sans trop de mal, l'équipage retrouve l'entrée de la forêt.;Node=>indices;;Node=>devant pierre magique;;;;;
Fade;;;;;;;;
Node=>entree foret;;;;;;;;
;;;;;;;;
;;;;;;;;
[devant pierre magique];;;;;;;;
Narrator : La cime des arbres disparaît maintenant dans les hauteurs et un épais brouillard vert entour CAPITAINE et son équipage.;;;;;;;;
[rune ouverte ?];;;;;;;;
